trial,seed,distribution_success,bob_outcome,charlie_outcome,disagreement,targeted_repudiation_success
0,1264954010,1,ONE_ACC,REJ,1,1
1,902756589,1,ONE_ACC,REJ,1,1
2,765985137,1,ONE_ACC,REJ,1,1
